time,open,high,low,close,volume,SMA_short,SMA_long,RSI
2026-02-19 11:22:00+00:00,154.698,154.698,154.684,154.688,99,154.67739999999998,154.7057,51.388888888885326
2026-02-19 11:23:00+00:00,154.689,154.689,154.67,154.676,94,154.67739999999998,154.70394,53.23741007193657
2026-02-19 11:24:00+00:00,154.675,154.676,154.656,154.657,55,154.67655,154.70213999999999,46.49681528662582
2026-02-19 11:25:00+00:00,154.658,154.674,154.657,154.674,78,154.67595,154.7014,51.445086705200985
2026-02-19 11:26:00+00:00,154.674,154.68,154.67,154.677,146,154.6749,154.70042,54.11764705881841
2026-02-19 11:27:00+00:00,154.676,154.691,154.638,154.651,94,154.6728,154.6992,46.6666666666725
2026-02-19 11:28:00+00:00,154.65,154.65,154.626,154.638,209,154.6705,154.69748,41.20603015075391
2026-02-19 11:29:00+00:00,154.638,154.648,154.631,154.632,171,154.66875,154.69528,41.20603015075391
2026-02-19 11:30:00+00:00,154.63,154.674,154.63,154.652,207,154.66795,154.69332,51.515151515151956
2026-02-19 11:31:00+00:00,154.652,154.674,154.652,154.664,165,154.66770000000002,154.69144,51.99999999999602
2026-02-19 11:32:00+00:00,154.664,154.678,154.662,154.676,125,154.66835,154.68996,51.515151515151956
2026-02-19 11:33:00+00:00,154.675,154.678,154.665,154.675,90,154.66889999999998,154.68826,42.603550295861474
2026-02-19 11:34:00+00:00,154.676,154.684,154.662,154.662,109,154.66835,154.68637999999999,36.781609195398545
2026-02-19 11:35:00+00:00,154.662,154.662,154.651,154.656,130,154.6678,154.6846,37.6470588235239
2026-02-19 11:36:00+00:00,154.652,154.664,154.652,154.661,115,154.66855,154.68282,41.81818181818119
2026-02-19 11:37:00+00:00,154.662,154.692,154.662,154.691,139,154.6703,154.68164000000002,54.09836065574381
2026-02-19 11:38:00+00:00,154.69,154.716,154.682,154.713,165,154.67245,154.68122,65.05376344086201
2026-02-19 11:39:00+00:00,154.712,154.712,154.704,154.71,129,154.67295000000001,154.68048000000002,60.465116279075524
2026-02-19 11:40:00+00:00,154.714,154.723,154.686,154.688,199,154.67194999999998,154.67932000000002,52.879581151832156
2026-02-19 11:41:00+00:00,154.687,154.7,154.686,154.698,121,154.67195,154.67904,63.42857142857189
2026-02-19 11:42:00+00:00,154.698,154.7,154.686,154.698,76,154.67245,154.67936,68.51851851852177
2026-02-19 11:43:00+00:00,154.698,154.712,154.694,154.712,100,154.67425,154.67964,73.52941176470686
2026-02-19 11:44:00+00:00,154.712,154.715,154.702,154.702,76,154.67649999999998,154.6804,65.62500000000665
2026-02-19 11:45:00+00:00,154.702,154.702,154.661,154.662,223,154.6759,154.67962,49.46808510638789
2026-02-19 11:46:00+00:00,154.662,154.677,154.662,154.676,153,154.67585,154.67870000000002,50.0
2026-02-19 11:47:00+00:00,154.676,154.688,154.654,154.659,109,154.67625,154.67792,46.11650485436344
2026-02-19 11:48:00+00:00,154.658,154.682,154.658,154.679,115,154.6783,154.6775,53.99061032863819
2026-02-19 11:49:00+00:00,154.678,154.678,154.648,154.652,227,154.6793,154.67638,49.14529914529499
2026-02-19 11:50:00+00:00,154.651,154.652,154.608,154.63,242,154.6782,154.67462,43.82470119521736
2026-02-19 11:51:00+00:00,154.633,154.634,154.611,154.612,151,154.67559999999997,154.67334,33.47280334727705
2026-02-19 11:52:00+00:00,154.612,154.613,154.576,154.58,238,154.67079999999999,154.67122,23.293172690763228
2026-02-19 11:53:00+00:00,154.58,154.602,154.578,154.602,207,154.66715000000002,154.66974,29.850746268653864
2026-02-19 11:54:00+00:00,154.602,154.614,154.6,154.612,173,154.66465,154.6685,35.15624999999801
2026-02-19 11:55:00+00:00,154.612,154.614,154.604,154.604,118,154.66205,154.66685999999999,31.496062992120258
2026-02-19 11:56:00+00:00,154.604,154.608,154.588,154.588,181,154.65839999999997,154.66466,29.629629629621448
2026-02-19 11:57:00+00:00,154.588,154.63,154.588,154.627,167,154.6552,154.66333999999998,35.59322033898452
2026-02-19 11:58:00+00:00,154.628,154.64,154.622,154.631,80,154.65109999999999,154.66228,37.716262975777155
2026-02-19 11:59:00+00:00,154.63,154.632,154.628,154.628,119,154.647,154.6615,43.253968253963734
2026-02-19 12:00:00+00:00,154.627,154.632,154.605,154.616,223,154.6434,154.66046,38.00000000000387
2026-02-19 12:01:00+00:00,154.617,154.617,154.548,154.548,332,154.6359,154.65804,31.561461794020843
2026-02-19 12:02:00+00:00,154.546,154.557,154.544,154.546,208,154.6283,154.6557,26.501766784449487
2026-02-19 12:03:00+00:00,154.547,154.568,154.544,154.564,248,154.6209,154.65370000000001,33.94160583941557
2026-02-19 12:04:00+00:00,154.563,154.566,154.554,154.56,130,154.61380000000003,154.65143999999998,36.32812499999983
2026-02-19 12:05:00+00:00,154.56,154.56,154.546,154.557,124,154.60854999999998,154.64924000000002,38.589211618255156
2026-02-19 12:06:00+00:00,154.558,154.602,154.554,154.588,236,154.60415,154.64808000000002,51.666666666662714
2026-02-19 12:07:00+00:00,154.588,154.602,154.584,154.595,117,154.60094999999998,154.64686,48.44444444444349
2026-02-19 12:08:00+00:00,154.596,154.606,154.588,154.595,124,154.59675,154.64536,46.046511627908515
2026-02-19 12:09:00+00:00,154.596,154.603,154.591,154.595,112,154.59390000000002,154.64326,47.82608695651875
2026-02-19 12:10:00+00:00,154.598,154.618,154.596,154.615,130,154.59315,154.6414,56.39810426540521
2026-02-19 12:11:00+00:00,154.614,154.64,154.614,154.639,160,154.59449999999998,154.64022,53.06122448979562
2026-02-19 12:12:00+00:00,154.64,154.648,154.628,154.636,103,154.5973,154.63918,51.28205128204979
2026-02-19 12:13:00+00:00,154.636,154.654,154.632,154.634,105,154.5989,154.63834,51.546391752577016
2026-02-19 12:14:00+00:00,154.634,154.642,154.631,154.637,115,154.60015,154.63794,55.67567567566936
2026-02-19 12:15:00+00:00,154.636,154.648,154.628,154.628,121,154.60135,154.63702,81.74603174600274
2026-02-19 12:16:00+00:00,154.628,154.629,154.616,154.622,104,154.60305,154.63592,79.23076923076587
2026-02-19 12:17:00+00:00,154.623,154.627,154.616,154.618,69,154.6026,154.63526,73.27586206895221
2026-02-19 12:18:00+00:00,154.618,154.65,154.609,154.648,141,154.60345,154.63546,80.98591549293788
2026-02-19 12:19:00+00:00,154.648,154.65,154.624,154.626,126,154.60335,154.63533999999999,71.42857142856892
2026-02-19 12:20:00+00:00,154.625,154.638,154.625,154.636,115,154.60435,154.63502,67.1428571428525
2026-02-19 12:21:00+00:00,154.637,154.639,154.628,154.631,171,154.6085,154.63436,63.04347826086688
2026-02-19 12:22:00+00:00,154.63,154.63,154.602,154.604,131,154.6114,154.63291999999998,52.7272727272768
2026-02-19 12:23:00+00:00,154.604,154.613,154.59,154.592,105,154.6128,154.63126,49.152542372885435
2026-02-19 12:24:00+00:00,154.591,154.612,154.591,154.61,99,154.6153,154.63022,48.57142857142996
2026-02-19 12:25:00+00:00,154.61,154.62,154.6,154.618,124,154.61835000000002,154.62946,43.39622641508929
2026-02-19 12:26:00+00:00,154.618,154.642,154.617,154.633,123,154.6206,154.62890000000002,49.12280701754794
2026-02-19 12:27:00+00:00,154.634,154.637,154.628,154.633,96,154.6225,154.62774,49.704142011841284
2026-02-19 12:28:00+00:00,154.632,154.644,154.632,154.643,83,154.6249,154.62634,51.704545454545915
2026-02-19 12:29:00+00:00,154.643,154.644,154.639,154.643,52,154.62730000000002,154.625,54.49101796407777
